artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Meek Mill,Otherside Of America,64,13,2,3JBvJ9PwrYA1oeUzI3FMRI,True,75
Carrie Underwood,Drinking Alone,74,15,7,4objxuNfJlJHomkRIPa2Y2,False,69
Sleepy Hallow,Deep End Freestyle,80,16,2,4zTPYAf5scZdp0LnwPPeWK,True,85
Zac Brown Band,The Man Who Loves You The Most,96,20,1,58DvikiJcEjow3Skg80yxX,False,72
Tones And I,Dance Monkey,4,1,36,2XU0oxnq2qxCpomAAuJY8K,False,93
"NAV, Gunna & Travis Scott",Turks,17,4,11,7IMwEtpAiJanqF6vQteZN2,True,73
Lil Uzi Vert,That Way,20,4,12,5raTDhlbxFDnpn89bxArdH,True,78
Brantley Gilbert,Hard Days,95,19,1,2AqbOAAgaNRygNIJYcM69I,False,62
Brett Young,Catch,29,6,17,53cGGBxGPaRjP0HVUESyW5,False,70
Kane Brown,Worldwide Beautiful,100,20,1,431M98gFekRc9HdNfgWc7N,False,72
Lady Gaga,Stupid Love,5,1,10,7yBbV2k2S2uhaQc24NF2xt,False,84
Lady Gaga,Alice,84,17,1,41A89rj3GoMG6ktN37L7PG,False,79
Lil Baby,Sum 2 Prove,16,4,20,2u3EyuCqqV31woqGvO9LBz,True,76
Gunna,Wunna,57,12,1,6HY3arOe4dD8UQ0oVDJ18E,True,75
Gunna,SkyBox,65,13,2,7GwYENSg87oERcW0Wacd6m,True,73
Gunna,Argentina,67,14,1,4LkEHc33eXcXFQNwxruw7W,True,72
Gunna,Met Gala,70,14,1,4loM16743hROPC6uIJG6wM,True,72
Agust D,Daechwita,76,16,1,0H4ugk6rhnXmTl47ayy9O5,True,80
Gunna,Nasty Girl / On Camera,78,16,1,2f8y4CuG57UJEmkG3ujd0D,True,73
Gunna,MOTW,84,17,1,0JZUiKHoEDpsLvXfeqbZxV,True,69
Gunna,Gimmick,86,18,1,3IaxObCWKEaGtIT78GsEpP,True,67
Polo G,Martin & Gina,61,13,2,1VLtjHwRWOVJiE5Py7JxoQ,True,78
Gunna,Feigning,98,20,1,7qaoXmlsSrndaQeDRPpOeW,True,68
Lewis Capaldi,Someone You Loved,1,1,54,7qEHsqek33rTcFNT9PFqLf,False,91
Future,Trapped In The Sun,53,11,1,6QeUzTuBoasiii8nevDciq,True,69
Future,Hard To Choose One,68,14,1,66z5CuZkqkb18VhFTRwbZk,True,68
Future,Ridin Strikers,69,14,1,6PHbWsTTlmQKF9i9VC1KFv,True,68
Future,Hitek Tek,71,15,1,5v1STk4ZTTDrhgCs6LD3nd,True,67
Future,Too Comfortable,75,15,1,0biVzpdI2z0vAxwfU9xuuA,True,70
Future,Posted With Demons,79,16,1,7enaBBJnekyUCcXRuwGEH6,True,66
Future,Touch The Sky,81,17,1,29s4u1adFGLWtGehbR5xkq,True,66
Future,One Of My,82,17,1,12ZpiGAd2uPgJiofgoZMue,True,66
Polo G,Beautiful Pain (Losin My Mind),92,19,1,4SIB2yxKoFOrbkjA4zfQbB,True,75
Polo G,33,93,19,1,2iW6Hb6kfrz2K7EhPibFiq,True,74
Polo G,I Know,95,19,1,40j4RoqmLiivqzRObbQ4BF,True,74
Moneybagg Yo,Me Vs Me,88,18,2,1lUTmmPMAsxZBR2iK9CKDF,True,69
Rod Wave,Heart On Ice,25,5,27,6fWa5CRgy0z30OeGZyMBvD,True,80
Kehlani,Toxic,68,14,1,5nexAvWNhwg51EavnDgViy,True,75
Ingrid Andress,More Hearts Than Mine,30,6,20,0LcspVKJxhEQQSvVMiTPWz,False,68
Demi Lovato,I Love Me,18,4,10,2IHLaN6wwYKQ3S24NsQqpA,True,79
Luke Combs,Six Feet Apart,58,12,2,3aMUiKCIXJeurR5ppEMJZD,False,75
Lil Durk,Viral Moment,91,19,1,6w8vxB8I2QKZupDfxg9QTe,True,62
Jake Owen,Homemade,39,8,16,31JID2STTlLuFqXFWHyM8e,False,68
Drake,Time Flies,30,6,2,5H4mXWKcicuLKDn4Jy0sK7,True,76
Jordan Davis,Slow Dance In A Parking Lot,37,8,19,6MBUUSIWCzaXW4q58Ktrv9,False,74
Halsey,You Should Be Sad,26,6,18,7lidXGPXPYLNThITAOTlkK,True,84
Drake,Deep Pockets,32,7,1,3IvMYBE7A3c7to1aEcfFJk,True,71
Drake,When To Say When,35,7,1,5TCBWmEBrin7etRa4Lswr1,True,72
Drake,Landed,39,8,1,3KixNgUEaDtrKJVzdqjU5q,True,73
Drake,From Florida With Love,45,9,1,0YkUwXxnTkeJBvt5upeEtP,True,72
Drake,Losses,51,11,1,6fLVTVaHWaEfVKfEgbkf4D,True,69
Drake,War,52,11,1,1I55Ea0zVoSKs6MqW7DQ3i,True,74
Lil Baby,Social Distancing,65,13,1,1RrQK0BIyxZaOooNDVSEaZ,True,71
Lil Baby,Low Down,81,17,1,5m0yZ33oOy0yYBtdTXuxQe,True,67
Lil Baby,Humble,86,18,1,6heRfvHrUIIPx9TqRg8SCq,True,67
DaBaby,Find My Way,22,5,5,1gVCEnryJhkdQcuC0Kbvor,True,80
Arizona Zervas,Roxanne,4,1,26,696DnlkuDOXcMAnKlTgXXK,True,90
The Weeknd,Heartless,1,1,23,6bnF93Rx87YqUBLSgjiMU8,True,82
Travis Scott,HIGHEST IN THE ROOM,1,1,22,3eekarcy7kvN4yt5ZFzltW,True,90
Dan + Shay & Justin Bieber,"10,000 Hours",4,1,30,2wrJq5XKLnmhRXHIAf9xBa,False,86
Travis Scott,Goosebumps,32,7,35,6gBFPUFcJLzWGx4lenP6h2,True,91
Lil Uzi Vert,Sasuke,65,13,1,0ROE31C8Wu4neZoR9stM9e,True,70
YoungBoy Never Broke Again,Diamonds,86,18,1,7jx8tZVzfOAYK6bwP1mwqN,True,64
Lil Uzi Vert,Myron,13,3,7,56uXDJRCuoS7abX3SkzHKQ,True,84
Megan Thee Stallion,Captain Hook,74,15,4,1E3VQQWFQAPJkXfYHjqWoI,True,79
YoungBoy Never Broke Again,Rough Ryder,92,19,1,73C80fhriFzangrzWVO4Zp,True,61
Alicia Keys,Underdog,69,14,5,3FGiFUJRRp5RGikVrs6kig,False,80
"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81,17,7,2DEZmgHKAvm41k4J3R2E9Y,True,90
Playboi Carti,@ MEH,35,7,1,5UusfWUMMLEXLMc1ViNZoe,True,77
DaBaby,BOP,11,3,30,6Ozh9Ok6h4Oi1wUSLtBseN,True,85
DaBaby,BLAME IT ON BABY,64,13,1,0jWm0VyD8p3MrSInczpows,True,71
Karol G & Nicki Minaj,Tusa,42,9,21,0MvxgmXHMXh70GpnR0mKkT,False,54
DaBaby,TALK ABOUT IT,74,15,1,3QSLoxRguKgK0knOG7EGyn,True,66
DaBaby,CHAMPION,85,17,1,19eeh4pgEGHdSTc26U1y89,False,67
Kelly Clarkson,I Dare You,86,18,1,0o58NWBiVXewJNfNDKQyjw,False,67
Tory Lanez,Broke In A Minute,64,13,2,4xqIYGwwZTEem9U8A42SPF,True,81
Tory Lanez,Stupid Again,54,11,1,1fPnUpoXCpD2NDI4vPVeLw,True,74
Selena Gomez,Boyfriend,59,12,1,4QnC1bIaMSfDQvF4XDhV5M,False,76
Luke Bryan,What She Wants Tonight,46,10,17,5M3v6frAiTyqenNAeQVcxC,False,67
Polo G,DND,84,17,1,58GJNfq2m0Qr5nIUCDbXVQ,True,73
Dustin Lynch,Ridin' Roads,47,10,20,2VPmBOuy7ZAOFSzKwW2IEt,False,71
Taylor Swift,The Man,23,5,8,3RauEVgRgj1IuWdJ9fDs70,False,81
"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,55,11,6,7wsmIIm0xWmtP7TmACXkJn,True,80
Lil Uzi Vert,P2,11,3,6,3kW4z2pIj5VY5fLjBrMRL5,True,83
Justin Bieber,Yummy,2,1,15,41L3O37CECZt3N7ziG2z7l,False,83
Megan Thee Stallion,B.I.T.C.H.,31,7,10,06scTb0zbkxYNgpAB3J9fN,True,67
Doja Cat,Boss Bitch,100,20,1,78qd8dvwea0Gosb6Fe6j3k,False,89
Kane Brown,Homesick,35,7,21,30RZAuEkYeDXvy46Iv6l7E,False,73
Rod Wave,Fuck The World,64,13,1,4zbSIYErBaRCPiZeodadtS,True,66
Rod Wave,Pray 4 Love,67,14,1,4Uxr9N0AWejJFBy3qyXprX,True,63
Rod Wave,Thief In The Night,74,15,1,0KVNgZI1y3YTITnwITuEvj,True,65
Future,Tycoon,76,16,1,1c9hQ4jqgVP10plon2B259,True,64
Rod Wave,I Remember,77,16,1,5B47BFhAuIzJ6ZwxZPVI1i,True,61
Rod Wave,The Greatest,78,16,1,4tnLapnaoDS46c9CBRUqpE,True,71
Rod Wave,Ribbon In The Sky,84,17,1,5qPfvvKDCoXG3rzgztsJQG,True,65
The Weeknd,After Hours,20,4,7,2p8IUWQDrpjuFltbdgLOag,False,83
Rod Wave,Thug Life,95,19,1,5naCF6qs5PXR4UTGecayNP,True,60
Jonas Brothers,What A Man Gotta Do,16,4,12,4wNIkl5XGiAACjFBlDWuSd,False,84
Rod Wave,No Weakness,99,20,1,7u5awC3KHNZTfHcnFwZdAb,True,61
Lil Baby,Woah,15,3,21,598yNsG1JFrGd4n2kMoz7F,True,77
Dua Lipa,Physical,60,12,2,3AzjcOeAmA57TIOr9zF1ZW,False,84
YoungBoy Never Broke Again,Make No Sense,57,12,20,6klLvorLoo1sxvZcjJIY8I,True,78
The Weeknd,Save Your Tears,41,9,2,5QO79kh1waicV47BqGRL3g,True,79
Bad Bunny,La Dificil,33,7,5,6NfrH0ANGmgBXyxgV2PeXt,True,87
Bad Bunny,Si Veo A Tu Mama,32,7,5,41wtwzCZkXwpnakmwJ239F,False,85
Bad Bunny,Vete,33,7,18,5DxXgozhkPLgrbKFY91w0c,True,81
Lil Uzi Vert,Baby Pluto,6,2,4,7hav1MHURQf5SAoPk0egqh,True,76
The Weeknd,Alone Again,21,5,1,6b5P51m8xx2XA6U7sdNZ5E,True,73
The Weeknd,Scared To Live,24,5,1,4BGZF4oLbTL0pWm7C18pbv,True,74
The Weeknd,Hardest To Love,25,5,1,6kWxIqQDsKFYCJGbU4AjCX,True,74
The Weeknd,Too Late,28,6,1,2K9Ovn1o2bTGqbsABGC6m3,True,73
The Weeknd,Snowchild,32,7,1,3WlbeuhfRSqU7ylK2Ui5U7,True,72
The Weeknd,Escape From LA,39,8,1,1sOW4PuG5X3Ie3EXUhAopJ,True,74
The Weeknd,Faith,45,9,1,3orEOtd8CPL8GFlpRpKuoE,True,73
Selena Gomez,Lose You To Love Me,1,1,23,4l0Mvzj72xxOpRrp6h8nHi,False,84
Kelsea Ballerini,homecoming queen?,65,13,13,1s71G3V7XQaVo5IOR6gLbp,False,65
The Weeknd,Repeat After Me (Interlude),69,14,1,40U8d12pC5UHqmHwXjHjjl,True,70
The Weeknd,Until I Bleed Out,80,16,1,2BcnxwxBuar5wjCaLqm5N3,True,69
Sam Smith,To Die For,46,10,6,2ZTYlnhhV1UAReg7wIGolx,False,80
Lil Uzi Vert,Lo Mein,8,2,3,6CUP2khYzdphXebxVTfPE3,True,76
Lizzo,Good As Hell,3,1,30,07Oz5StQ7GRoygNLaXs2pd,False,80
Lil Uzi Vert,Lotus,45,9,1,4SnlSaLJJ7reJMCHM5YUuX,True,67
Lil Uzi Vert,Silly Watch,9,2,2,5egD7A5x9AHdVO2fMo3Wbo,True,72
Lil Uzi Vert,Moon Relate,62,13,1,4sWGHlZGM1XA7TyWdtBAbA,True,67
Lil Uzi Vert,I Can Show You,66,14,1,0AhJag7VI8uFf3mJFsTwvf,True,66
Jason Aldean,We Back,62,13,16,6UL2RC5J2vMau9KOMKQfJg,False,66
Lil Uzi Vert,Trap This Way (This Way),68,14,1,7vTspUAmMKFkUpKL9HLZNL,True,68
Riley Green,I Wish Grandpas Never Died,66,14,12,7Dxes6VnfbZYV0S2QTnVuT,False,73
Lil Uzi Vert,Homecoming,22,5,2,6vxU64pcIuQ38O015Zy4qj,True,71
Lil Uzi Vert,Come This Way,83,17,1,2BjNjFJAQTxqUPGpOnrese,True,66
Don Toliver,Cardigan,90,18,1,0Li1OuXXfi7950ilZUFGkF,False,77
Lil Uzi Vert,Futsal Shuffle 2020,5,1,11,2Ec33AVlkTTq8BHFgBTdQs,True,75
Lil Uzi Vert,Prices,25,5,2,4YcWzLSnGqLjSCycuSMHnn,True,72
Lil Uzi Vert,POP,28,6,1,1jDbQz6tr52WgScCTXMnaN,True,65
Lil Uzi Vert,Bigger Than Life,33,7,1,2oHDJHNondITqbl8xZ9vPn,True,69
Lil Uzi Vert,Celebration Station,34,7,1,25B5fGr9K0VdZJiRFsnMO4,True,68
Lil Uzi Vert,You Better Move,36,8,1,6YAxCn4juTWn5hWl2hzHGw,True,67
Lil Uzi Vert,Venetia,39,8,1,3BYIzNZ3t9lRQCACXSMLrT,True,70
Lil Uzi Vert,Chrome Heart Tags,45,9,1,46mT9NR7N9Zf5MolcrBgE3,True,65
Lil Uzi Vert,Bust Me,51,11,1,4wBcaYqLPm7EtDVoJQORU4,True,65
Lil Uzi Vert,Secure The Bag,72,15,1,7gHZGXSJzM29WA384suYY2,True,64
Jhene Aiko,Triggered,51,11,4,3zPgAKn5tbmCuCKrR3r7qE,True,70
BrockHampton,SUGAR,66,14,9,6U0FIYXCQ3TGrk4tFpLrEA,True,83
Billie Eilish,Bad Guy,1,1,49,2Fxmhks0bxGSBdJ92vM42m,False,90
Sam Hunt,Kinfolks,34,7,21,53F1MVa1BWUkTBbVqgVAfN,False,70
Old Dominion,One Man Band,20,4,28,7cA3PnUQDlUyBBwpRozQeo,False,65
Lil Baby,Get Ugly,54,11,1,5XJciZ5Bj0IjPrcnNU7gvB,True,63
Lil Baby,How,59,12,1,5CLMG0eAitcBauIR8zPukZ,True,62
Bad Bunny,Pero Ya No,63,13,1,75pQqzwgCjUOSSy5CpmAjy,False,78
BTS,ON,4,1,2,2QyuXBcV1LJ2rq01KhreMF,False,81
YoungBoy Never Broke Again,Lil Top,28,6,2,1aMokXl3uKDvCh4BBcjFOA,True,73
Lil Baby,Same Thing,78,16,1,2XEsbmynS9dLSzNSuZzfXF,True,63
Jimmie Allen,Make Me Want To,49,10,10,0AYbVoeF03NYhM0fvKjAuU,False,66
