artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Zara Larsson,Ruin My Life,76,16,7,5tAa8Uaqr4VvA3693mbIhU,1.0,79
Kacey Musgraves,Rainbow,98,20,1,79qxwHypONUt3AFq0WPpT9,0.0,72
Marshmello,Alone,28,6,11,3MEYFivt6bilQ9q9mFWZ4g,0.0,77
Ariana Grande,Breathin,12,3,25,4OafepJy2teCjYJbvFE60J,1.0,76
Ella Mai,Trip,11,3,27,6CTWathupIiDs7U4InHnDA,0.0,75
Logic,Keanu Reeves,38,8,3,3PYx9Wte3jwb48V0wArMOy,1.0,73
Future,Crushed Up,43,9,5,7wcyO1rrH3Ru4t659IjG41,1.0,64
Jimmie Allen,Best Shot,37,8,20,3VamXAvVMczcS2PTYtPfBQ,0.0,71
XXXTENTACION,Sauce!,89,18,1,3jq1RpStaB1YGyN3rRZGca,1.0,65
XXXTENTACION,BAD!,16,4,11,03eJ2DclFWXYU8GWgANdmZ,1.0,71
Russell Dickerson,Blue Tacoma,52,11,19,5PBx0zFfehUMyv5H4YXVAU,0.0,72
Imagine Dragons,Natural,13,3,27,2FY7b99s15jUprqC0M5NCT,0.0,81
Future,Jumpin On A Jet,57,12,2,1I3ZAmPmbFV78oNKnibOiW,1.0,55
Future,Never Stop,65,13,1,1AGPmw3QJBNfOK6XioDhZp,1.0,53
Camila Cabello,Consequences,51,11,12,7sTtHHrD0zDpmzQzH3zegz,0.0,73
Future,Temptation,76,16,1,2gXOzCwbVXACCaYRj4Qrep,1.0,50
Future,Rocket Ship,79,16,1,4HfaOznGhHYWqPtpLYz2PB,1.0,55
Future,F&N,83,17,1,5YP6yKgGGsXKukqxXypVAf,1.0,56
Future,Call The Coroner,100,20,1,1WlU4jsJ8AoTB96dgd8LJA,1.0,50
Luke Combs,She Got The Best Of Me,31,7,23,698eQRku24PIYPQPHItKlA,0.0,77
Future & Juice WRLD,Fine China,26,6,13,5274I4mUMnYczyeXkGDWZN,1.0,77
Lil Pump,Butterfly Doors,81,17,2,4NdXQlDTzxbOMkzJGWFtz3,1.0,60
YoungBoy Never Broke Again,Valuable Pain,87,18,2,61Oo3DUJubecZQosjho6Pp,1.0,63
Billie Eilish,idontwannabeyouanymore,96,20,3,41zXlQxzTi6cGAjpOXyLYH,0.0,81
Kip Moore,Last Shot,53,11,8,6viHvc13l9A6Ua6xugpeX6,0.0,65
21 Savage,Monster,73,15,3,2FUNBaa5DwItJtYEBgAblU,1.0,67
Mitchell Tenpenny,Drunk Me,39,8,21,1G4cdOtF36ZCs6i2dZoC87,0.0,72
Bad Bunny,Solo de Mi,93,19,1,5YOkA7qd2983FtBQnP8sYx,1.0,70
XXXTENTACION,whoa (mind in awe),37,8,3,7pdF27mSDuPWhppnHAmWHa,0.0,73
21 Savage,All My Friends,67,14,2,4paAidoE8VAemwU4jgCc6l,1.0,69
Katy Perry,Cozy Little Christmas,53,11,2,02FaKXXL7KUtRc7K0k54tL,0.0,42
Lauren Daigle,The Christmas Song,55,11,2,3jRBwf09lbRAp2DSPlRx8p,0.0,23
21 Savage,Break Da Law,70,14,1,5ZSIExfQuVv69tw5Qw3yDl,1.0,56
21 Savage,1.5,86,18,1,2wOXxtHZgRkkrkEbKLzzqs,1.0,60
21 Savage,Out For The Night,88,18,1,4B8vU5oDXVxO5OkLAI4aLx,1.0,62
21 Savage,Gun Smoke,93,19,1,4f1XXGjZZ9EkFkrbPJek6X,1.0,57
21 Savage,ASMR,95,19,1,2QgfDF0fQ4sskDthP8MG5w,1.0,60
Paul McCartney,Wonderful Christmastime,47,10,1,1SV1fxF65n9NhRHp3KlBuu,0.0,49
Kodak Black,Testimony,74,15,1,6Gg25EZRbQd4IHiJz2KSY0,1.0,57
lovelytheband,Broken,29,6,22,6XcfKZvJio9Z0fQy11GnNX,0.0,76
XXXTENTACION,Guardian Angel,48,10,1,7uqcLJFlSYjVPLUz1vPxkY,1.0,66
Ariana Grande,God Is A Woman,8,2,22,5OCJzvD7sykQEKHH7qAC3C,1.0,79
XXXTENTACION,I Don't Let Go,51,11,1,4axYWgXASdsCBHuwInAubT,1.0,65
XXXTENTACION,Train Food,64,13,1,5lar0mCUejpILVkAz50s2J,1.0,59
XXXTENTACION,What Are You So Afraid Of,65,13,1,57nOpVSc3j9o03Cr928ZM4,0.0,66
XXXTENTACION,Staring At The Sky,68,14,1,4KpKyRFwN0gcwj58Uqjv7q,0.0,59
NF,Lie,48,10,20,07FkzikE6FuHIa8Ma7zJGc,0.0,77
XXXTENTACION,Difference (Interlude),84,17,1,5itzep0nGnq7hxCfFNsTIR,0.0,63
Yella Beezy,That's On Me,56,12,20,5c0Vl3yklw5WX9YI36dPLd,1.0,62
Meek Mill,Intro,55,11,1,3EQ9QP2E7wjYQba8OSPBst,1.0,57
Meek Mill,Respect The Game,57,12,1,6pUBrvKfJL4qmn95mxU7rC,1.0,55
Meek Mill,Trauma,61,13,1,45CCe4gu08OYG1I4MH8TU6,1.0,53
Meek Mill,Championships,70,14,1,5DTOk0tCrmicVQP4mc6hkr,1.0,54
Meek Mill,Almost Slipped,73,15,1,1bx4Jw8A7GQtImIQGccI6D,1.0,51
Ski Mask The Slump God,Foot Fungus,81,17,1,3EikYy40GMSp8l5mDV6IQo,1.0,71
Lil Baby,Crush A Lot,82,17,1,39RWYLt6hgk9BbhkDgaHW9,1.0,57
Meek Mill,Oodles O' Noodles Babies,85,17,1,0jqLv5PuEUA0GthFjdtlS1,1.0,51
Lil Baby,Global,91,19,1,7cW1wHpSLYgKWzoWlOCPFJ,1.0,57
Lil Baby,Word On The Street,98,20,1,52i143Ph5c3RQaQFBXWix1,1.0,56
Drake,In My Feelings,1,1,22,2G7V7zsVDxg1yRsu7Ew9RJ,1.0,81
Kane Brown,Lose It,28,6,20,7epGknfpAlH1u33S71Ur1o,0.0,70
Drake,Nonstop,2,1,22,0TlLq3lA83rQOYtrqBqSct,1.0,80
Trippie Redd,Topanga,52,11,5,5aXgz1oKK8Q9z9xvTmSnrO,1.0,75
Billie Eilish,Come Out And Play,69,14,1,7wC5eZcFS1Q1BsQ35DU6H4,0.0,73
Chris Young,Hangin' On,63,13,13,6CyJlVAEFlNdpggOLanytL,0.0,65
Maren Morris,Rich,62,13,8,4H0vNUFcHPz5lytcLjwqkr,0.0,65
Kanye West & Lil Pump,I Love It,6,2,12,4S8d14HvHb70ImctNgVzQQ,1.0,76
Lil Mosey,Noticed,80,16,10,7zLYKWcXnYeHHWidalz7rj,1.0,81
Lauv,I Like Me Better,27,6,41,2P91MQbaiQOfbiz9VqhqKQ,0.0,84
XXXTENTACION,Sad!,1,1,38,3ee8Jmje8o58CHK66QrVC2,1.0,86
Queen,Bohemian Rhapsody,2,1,44,7tFiyTwD0nx5a1eklYtX2J,0.0,75
Kodak Black,Take One,81,17,1,1XJBDDpeuZaj5fvmwhdIMw,1.0,55
Quavo,W O R K I N  M E,52,11,15,33tNYw9oMtSkGe27NpgS64,1.0,60
Eric Church,Desperate Man,68,14,15,1vHeu2j2MpfMqqvcXKLtic,0.0,58
AJR,Burn The House Down,100,20,1,0TkJIyL69RAUIbNwGub6uR,1.0,71
Trippie Redd,Love Scars 3,73,15,1,0AcicReEGm1qcENjqzh1Tg,1.0,69
Trippie Redd,Toxic Waste,98,20,1,1SxagO9GK0UUeEYLmH8Pln,1.0,61
Bryce Vine,Drew Barrymore,46,10,14,0OgGn1ofaj55l2PcihQQGV,1.0,70
Selena Gomez,Back To You,18,4,26,4hQ6UGyWQIGJmHSo0J88JW,0.0,76
Taylor Swift,Delicate,12,3,35,6NFyWDv5CjfwuzoCkw47Xf,0.0,76
TakeOff,Last Memory,54,11,2,1fvCggAYrW0VtCljtqv4h2,1.0,60
Calvin Harris & Sam Smith,Promises,65,13,12,43P4CvRCS6HmVERmYfM8ma,0.0,26
Old Dominion,Hotel Key,48,10,19,33471tzU1VghDg9zNgGRpz,0.0,69
Eminem,Killshot,3,1,8,1jo3TwNGCXfNdB5uba3ZVv,1.0,74
TakeOff,Casper,99,20,1,1B4gJRq61xTs6r1O0Uq2iY,1.0,70
"Zedd, Maren Morris & Grey",The Middle,5,1,40,09IStsImFySgyp0pIQdqAc,0.0,82
Chris Janson,Drunk Girl,79,16,10,1kFBLqkTuNKlspkJ1EOGjN,0.0,64
P!nk,A Million Dreams,90,18,1,0oagwWkGlBoACUuKvTmqZV,0.0,67
Eminem,Venom,43,9,5,2SL6oP2YAEQbqsrkOzRGO4,1.0,73
Lil Uzi Vert,New Patek,24,5,7,0Fpen1PTuEnCmOJtUU9Iud,1.0,71
Cole Swindell,Break Up In The End,49,10,17,5Z19ylxppfnfdP4JH0u8oj,0.0,66
Lil Mosey,Kamikaze,97,20,1,3to5UxKsozb4T6CfwHuhLJ,1.0,74
Ariana Grande,No Tears Left To Cry,3,1,27,2qT1uLXPVPzGgFOx4jtEuo,0.0,81
Future & Juice WRLD,Astronauts,82,17,1,2vs5ubqg8QUbfyWZpMfvWe,1.0,64
Khalid,Vertigo,89,18,1,7stcuQtnHL7C6XdPvpwywv,0.0,64
Juice WRLD,Make It Back,92,19,1,2EhJijFUs0WUmNClDBpYJq,1.0,66
Dua Lipa & BLACKPINK,Kiss And Make Up,93,19,1,7jr3iPu4O4bTCVwLMbdU2i,0.0,77
Weezer,Africa,51,11,15,3ZPKocroJIcnHGcnJVlLKD,0.0,63
Florida Georgia Line,Simple,32,7,20,4L9Ds4mpD3SuYoWwFUlv16,0.0,75
Queen Naija,Medicine,45,9,20,4lFfMRH0YH4pW5gczTDbNC,0.0,70
Quavo,Biggest Alley Oop,86,18,1,6Q36XucqrejMId3RydVhch,1.0,57
Quavo,Huncho Dreams,93,19,1,7pVzUPjJ83QojsVcOthmxP,1.0,47
Luke Bryan,"Sunrise, Sunburn, Sunset",35,7,16,53yTYusPQJ1AApL1hi0Dnc,0.0,70
Kodak Black,"If I'm Lyin, I'm Flyin",56,12,3,7HdNB8nvJOBwHa8hIkzvxp,1.0,60
Lil Baby & Gunna,Business Is Business,61,13,1,7roKDmJDOzkpfGpUQJ5EnL,1.0,61
Lady Gaga,Is That Alright?,63,13,1,172e82oK9vGoBPvc6SqMm5,0.0,63
Lil Wayne,Dedicate,14,3,2,0Y7di9ZCmB6Elad5WISaPc,1.0,61
twenty one pilots,Jumpsuit,50,10,4,1E1uGhNdBe6Dddbgs2KqtZ,0.0,72
Lil Baby & Gunna,Belly,80,16,1,1yQvL8SzbF5JCroRKk9F07,1.0,57
twenty one pilots,My Blood,81,17,1,5HeKOKc4phmLn8e4I7EkzD,0.0,72
Charlie Puth,The Way I Am,61,13,7,6qNALlmZa1ESnCxJmXE1K9,0.0,66
Bradley Cooper,Maybe It's Time,93,19,1,6jMbPsH6lTOLs5n8Af26AG,0.0,63
twenty one pilots,Nico And The Niners,79,16,2,5SehvGGC53A7SZKCLXQcyt,0.0,70
Lil Baby,Deep End,97,20,1,16QjPRt5HYK0dnLGmGRCvf,1.0,56
Lil Baby & Gunna,I Am,98,20,1,3F57PtOdqRpD6euFYqtKXX,1.0,62
Lil Wayne,Open Letter,47,10,1,2DnH4XlEkghUdE8ymdVom5,1.0,55
Lil Wayne,Problems,57,12,1,0ubdf6zWT1It2saK41SkO0,1.0,53
Lil Wayne,Hittas,59,12,1,5s6pKnF3ZPtuqvEx1i1V7U,1.0,53
Lil Wayne,Open Safe,62,13,1,7EgI0dCaQuHFe3OTj5EpWI,1.0,55
Lil Wayne,Took His Time,65,13,1,1Dk3CfJEtqvj7Xg2AWwfEn,1.0,54
Lil Wayne,Mess,74,15,1,6y4pOReFqH2wzo4CV91cZC,1.0,57
Lil Wayne,Let It All Work Out,75,15,1,3BUWNzPWz2mDbptZmGEXpB,1.0,60
Lil Wayne,Used 2,78,16,1,68lOQPb5tX8U2cQRuas0L2,1.0,55
Machine Gun Kelly,Rap Devil,13,3,4,63TyoT9Ee03rQxv8xmdJ2l,1.0,67
Lil Wayne,Demon,81,17,1,1kaxyXcAi5ZHF3Q94QXsHK,1.0,54
Lil Wayne,Perfect Strangers,86,18,1,4E3qImtJzRqLt8ZZyLceOE,1.0,54
Avril Lavigne,Head Above Water,64,13,2,7gY3cyGcB2wnk2xDXiA0pe,0.0,71
Ed Sheeran,Perfect,1,1,57,0tgVpDi06FyKpA1z0VMD4v,0.0,86
Drake,Nice For What,1,1,25,3CA9pLiwRIGtUBiMjbZmRw,1.0,79
Drake,God's Plan,1,1,36,6DCZcSspjsKoFjzjrWoCdn,1.0,84
Nicki Minaj,Barbie Dreams,18,4,7,6Poyf51k7W3NKnsGwAI90B,1.0,66
Juice WRLD,All Girls Are The Same,41,9,20,4VXIryQMWpIdGgYR4TrjT1,1.0,85
Eminem,Fall,12,3,4,58QhkbaAkLFnn7JwAnAato,1.0,70
Thomas Rhett,Life Changes,36,8,14,4Vxu50qVrQcycjRyJQaZLC,0.0,67
Dylan Scott,Hooked,48,10,11,3DV49ruvI5Sl6iisPZAc2c,0.0,66
